date,pompe,point,temperature,H,V,A,defaut_detecte
2023-12-25,4,pompe,48.6,2.68,2.87,2.8,0
2024-01-01,1,moteur_DE,57.3,2.64,2.39,2.1,0
2024-01-01,1,moteur_NDE,51.4,2.21,2.07,2.09,0
2024-01-01,1,pompe,50.7,2.45,2.58,2.75,0
2024-01-01,2,moteur_DE,53.0,2.07,2.45,2.44,0
2024-01-01,2,moteur_NDE,50.4,2.22,1.94,1.89,0
2024-01-01,2,pompe,47.2,2.03,2.59,3.04,0
2024-01-01,3,moteur_DE,54.3,1.86,2.18,2.29,0
2024-01-01,3,moteur_NDE,53.3,2.25,2.04,2.38,0
2024-01-01,3,pompe,53.2,3.29,2.56,2.39,0
2024-01-01,4,moteur_DE,53.9,2.28,2.45,2.13,0
2024-01-01,4,moteur_NDE,52.4,2.11,1.94,2.59,0
2024-01-01,4,pompe,49.9,2.4,2.96,2.41,0
2024-01-08,1,moteur_DE,54.9,2.86,2.14,2.38,0
2024-01-08,1,moteur_NDE,52.0,2.28,2.01,2.06,0
2024-01-08,1,pompe,52.4,3.11,2.49,2.38,0
2024-01-08,2,moteur_DE,55.5,2.54,2.29,2.49,0
2024-01-08,2,moteur_NDE,52.7,2.07,2.05,2.17,0
2024-01-08,2,pompe,49.7,2.41,2.94,2.97,0
2024-01-08,3,moteur_DE,55.4,2.5,2.83,2.93,0
2024-01-08,3,moteur_NDE,54.9,1.98,2.06,1.99,0
2024-01-08,3,pompe,50.8,2.72,2.74,2.71,0
2024-01-08,4,moteur_DE,56.8,2.0,2.44,2.16,0
2024-01-08,4,moteur_NDE,51.4,1.94,1.41,1.43,0
2024-01-08,4,pompe,51.4,3.25,2.2,2.38,0
2024-01-15,1,moteur_DE,55.1,2.08,2.24,2.01,0
2024-01-15,1,moteur_NDE,50.5,2.1,1.85,2.22,0
2024-01-15,1,pompe,51.7,3.16,3.13,2.72,0
2024-01-15,2,moteur_DE,55.6,2.37,2.0,2.25,0
2024-01-15,2,moteur_NDE,52.1,2.62,1.81,1.74,0
2024-01-15,2,pompe,49.6,2.88,2.45,3.13,0
2024-01-15,3,moteur_DE,55.2,2.31,2.38,2.19,0
2024-01-15,3,moteur_NDE,50.6,1.75,2.23,2.16,0
2024-01-15,3,pompe,51.5,2.46,2.64,2.26,0
2024-01-15,4,moteur_DE,60.5,2.33,2.33,5.65,1
2024-01-15,4,moteur_NDE,52.3,2.29,2.02,2.06,0
2024-01-15,4,pompe,47.9,2.4,2.85,3.41,0
2024-01-22,1,moteur_DE,56.2,2.03,2.04,2.34,0
2024-01-22,1,moteur_NDE,48.8,2.28,2.18,1.99,0
2024-01-22,1,pompe,49.1,3.07,2.24,2.86,0
2024-01-22,2,moteur_DE,54.5,2.15,2.02,1.98,0
2024-01-22,2,moteur_NDE,52.8,1.94,2.06,1.71,0
2024-01-22,2,pompe,48.1,2.23,2.31,2.07,0
2024-01-22,3,moteur_DE,57.1,2.69,2.26,1.71,0
2024-01-22,3,moteur_NDE,53.6,2.11,2.11,2.28,0
2024-01-22,3,pompe,50.3,2.41,2.56,2.4,0
2024-01-22,4,moteur_DE,52.9,2.72,2.85,1.81,0
2024-01-22,4,moteur_NDE,51.1,1.58,2.19,1.84,0
2024-01-22,4,pompe,48.6,2.34,2.47,2.14,0
2024-01-29,1,moteur_DE,57.1,2.3,1.76,2.0,0
2024-01-29,1,moteur_NDE,53.0,1.85,1.58,1.78,0
2024-01-29,1,pompe,47.6,2.73,3.2,3.05,0
2024-01-29,2,moteur_DE,53.2,2.16,2.34,2.87,0
2024-01-29,2,moteur_NDE,50.2,2.4,2.14,2.27,0
2024-01-29,2,pompe,52.0,3.19,2.66,2.42,0
2024-01-29,3,moteur_DE,55.0,2.08,2.37,2.33,0
2024-01-29,3,moteur_NDE,51.0,2.2,1.88,1.61,0
2024-01-29,3,pompe,50.0,2.45,3.17,2.25,0
2024-01-29,4,moteur_DE,56.4,1.99,2.09,2.28,0
2024-01-29,4,moteur_NDE,51.4,2.19,1.65,1.91,0
2024-01-29,4,pompe,51.7,2.7,3.16,2.69,0
2024-02-05,1,moteur_DE,53.6,2.13,2.25,1.9,0
2024-02-05,1,moteur_NDE,54.0,2.16,1.87,1.78,0
2024-02-05,1,pompe,49.6,2.58,2.68,2.59,0
2024-02-05,2,moteur_DE,55.7,2.41,2.35,1.97,0
2024-02-05,2,moteur_NDE,52.5,2.2,2.0,1.7,0
2024-02-05,2,pompe,52.0,2.34,2.88,2.88,0
2024-02-05,3,moteur_DE,55.4,2.1,1.91,2.35,0
2024-02-05,3,moteur_NDE,56.2,1.97,1.64,7.16,1
2024-02-05,3,pompe,50.0,2.13,2.6,2.65,0
2024-02-05,4,moteur_DE,53.6,2.06,2.36,2.19,0
2024-02-05,4,moteur_NDE,50.8,2.45,1.58,2.1,0
2024-02-05,4,pompe,49.7,2.93,2.58,2.49,0
2024-02-12,1,moteur_DE,54.0,2.33,1.78,2.39,0
2024-02-12,1,moteur_NDE,51.4,2.12,1.83,2.75,0
2024-02-12,1,pompe,50.5,2.85,2.7,2.48,0
2024-02-12,2,moteur_DE,55.1,2.17,2.14,2.32,0
2024-02-12,2,moteur_NDE,53.8,1.86,2.23,1.37,0
2024-02-12,2,pompe,47.6,2.13,2.72,2.55,0
2024-02-12,3,moteur_DE,68.2,2.1,8.94,2.06,1
2024-02-12,3,moteur_NDE,53.7,2.5,1.53,2.2,0
2024-02-12,3,pompe,47.0,2.68,2.89,2.96,0
2024-02-12,4,moteur_DE,56.1,1.91,1.95,1.93,0
2024-02-12,4,moteur_NDE,50.8,2.35,2.4,2.43,0
2024-02-12,4,pompe,49.6,2.43,2.46,2.87,0
2024-02-19,1,moteur_DE,54.4,2.01,2.75,1.86,0
2024-02-19,1,moteur_NDE,51.4,1.69,2.16,2.03,0
2024-02-19,1,pompe,52.9,2.26,2.7,2.59,0
2024-02-19,2,moteur_DE,54.6,2.42,1.66,2.02,0
2024-02-19,2,moteur_NDE,48.3,2.08,2.28,2.07,0
2024-02-19,2,pompe,49.5,2.88,2.45,2.41,0
2024-02-19,3,moteur_DE,54.9,1.74,1.93,1.81,0
2024-02-19,3,moteur_NDE,55.4,2.06,2.17,1.97,0
2024-02-19,3,pompe,48.8,3.16,2.24,2.71,0
2024-02-19,4,moteur_DE,57.5,2.07,2.18,2.11,0
2024-02-19,4,moteur_NDE,53.1,1.89,1.91,1.93,0
2024-02-19,4,pompe,50.7,2.89,2.55,2.51,0
2024-02-26,1,moteur_DE,55.9,2.04,2.77,2.38,0
2024-02-26,1,moteur_NDE,52.9,2.27,1.91,2.17,0
2024-02-26,1,pompe,47.9,2.44,2.66,2.43,0
2024-02-26,2,moteur_DE,55.5,2.05,2.04,2.77,0
2024-02-26,2,moteur_NDE,50.9,2.04,2.07,1.84,0
2024-02-26,2,pompe,49.1,2.76,2.96,2.53,0
2024-02-26,3,moteur_DE,54.7,2.4,2.8,1.52,0
2024-02-26,3,moteur_NDE,51.9,2.44,2.02,2.16,0
2024-02-26,3,pompe,50.2,2.6,2.49,2.69,0
2024-02-26,4,moteur_DE,53.0,1.98,2.63,2.4,0
2024-02-26,4,moteur_NDE,50.7,2.2,2.36,2.34,0
2024-02-26,4,pompe,54.1,2.72,2.37,5.35,1
2024-03-04,1,moteur_DE,54.8,1.9,2.24,2.39,0
2024-03-04,1,moteur_NDE,51.4,2.05,1.49,1.67,0
2024-03-04,1,pompe,50.5,2.27,3.49,2.61,0
2024-03-04,2,moteur_DE,55.0,2.23,2.8,2.64,0
2024-03-04,2,moteur_NDE,54.4,1.81,1.9,2.19,0
2024-03-04,2,pompe,51.3,2.59,2.44,2.88,0
2024-03-04,3,moteur_DE,54.8,2.66,2.02,2.23,0
2024-03-04,3,moteur_NDE,53.6,2.02,1.89,2.12,0
2024-03-04,3,pompe,48.6,2.52,2.65,3.38,0
2024-03-04,4,moteur_DE,55.7,2.48,2.15,1.97,0
2024-03-04,4,moteur_NDE,52.6,1.18,1.66,2.07,0
2024-03-04,4,pompe,49.9,1.93,2.39,2.91,0
2024-03-11,1,moteur_DE,56.5,2.64,2.44,2.01,0
2024-03-11,1,moteur_NDE,50.9,2.27,2.75,1.92,0
2024-03-11,1,pompe,52.7,2.86,2.41,2.42,0
2024-03-11,2,moteur_DE,56.6,1.69,1.93,1.73,0
2024-03-11,2,moteur_NDE,50.4,2.2,2.22,2.11,0
2024-03-11,2,pompe,50.4,2.94,2.41,2.75,0
2024-03-11,3,moteur_DE,55.8,1.52,2.44,1.97,0
2024-03-11,3,moteur_NDE,51.4,1.74,2.38,2.02,0
2024-03-11,3,pompe,51.2,2.7,2.66,2.31,0
2024-03-11,4,moteur_DE,52.0,1.98,2.34,1.67,0
2024-03-11,4,moteur_NDE,53.8,1.92,1.86,2.22,0
2024-03-11,4,pompe,51.3,2.77,2.4,3.18,0
2024-03-18,1,moteur_DE,51.4,2.71,2.07,2.54,0
2024-03-18,1,moteur_NDE,54.3,1.63,2.15,1.96,0
2024-03-18,1,pompe,50.4,2.33,2.81,3.03,0
2024-03-18,2,moteur_DE,54.2,2.38,1.67,2.33,0
2024-03-18,2,moteur_NDE,50.6,1.96,2.1,1.77,0
2024-03-18,2,pompe,48.5,2.74,2.96,2.6,0
2024-03-18,3,moteur_DE,53.4,2.39,2.28,2.15,0
2024-03-18,3,moteur_NDE,50.9,2.34,2.09,1.79,0
2024-03-18,3,pompe,50.4,2.34,2.72,3.21,0
2024-03-18,4,moteur_DE,54.0,2.19,2.04,2.19,0
2024-03-18,4,moteur_NDE,51.7,2.26,1.89,2.31,0
2024-03-18,4,pompe,48.2,2.37,2.93,2.39,0
2024-03-25,1,moteur_DE,57.1,2.43,1.96,1.82,0
2024-03-25,1,moteur_NDE,52.5,2.37,2.44,1.69,0
2024-03-25,1,pompe,49.2,2.27,3.0,2.81,0
2024-03-25,2,moteur_DE,57.7,2.56,2.23,2.5,0
2024-03-25,2,moteur_NDE,53.5,1.96,2.33,2.08,0
2024-03-25,2,pompe,49.7,2.74,3.11,2.71,0
2024-03-25,3,moteur_DE,54.8,1.95,2.5,2.09,0
2024-03-25,3,moteur_NDE,51.8,2.29,2.04,1.81,0
2024-03-25,3,pompe,49.8,2.34,2.86,2.48,0
2024-03-25,4,moteur_DE,53.0,1.93,2.06,1.97,0
2024-03-25,4,moteur_NDE,51.1,1.69,1.71,1.7,0
2024-03-25,4,pompe,51.2,2.95,2.66,2.83,0
2024-04-01,1,moteur_DE,54.3,2.0,2.49,1.89,0
2024-04-01,1,moteur_NDE,48.5,2.21,2.24,1.74,0
2024-04-01,1,pompe,48.1,2.43,3.14,2.27,0
2024-04-01,2,moteur_DE,54.4,2.35,2.09,2.42,0
2024-04-01,2,moteur_NDE,53.4,2.32,1.56,2.21,0
2024-04-01,2,pompe,50.2,2.74,2.6,2.3,0
2024-04-01,3,moteur_DE,54.2,2.41,2.5,2.27,0
2024-04-01,3,moteur_NDE,53.0,1.94,2.29,2.5,0
2024-04-01,3,pompe,47.7,2.53,2.7,3.23,0
2024-04-01,4,moteur_DE,54.9,2.45,2.15,1.97,0
2024-04-01,4,moteur_NDE,53.2,2.02,2.34,1.73,0
2024-04-01,4,pompe,50.6,2.49,2.08,1.82,0
2024-04-08,1,moteur_DE,56.0,2.03,2.28,2.35,0
2024-04-08,1,moteur_NDE,50.8,1.84,2.08,2.06,0
2024-04-08,1,pompe,50.0,2.75,2.27,2.32,0
2024-04-08,2,moteur_DE,54.0,1.73,1.97,2.13,0
2024-04-08,2,moteur_NDE,49.3,2.19,2.04,2.06,0
2024-04-08,2,pompe,50.0,2.77,2.62,2.37,0
2024-04-08,3,moteur_DE,53.1,2.15,2.28,2.07,0
2024-04-08,3,moteur_NDE,48.9,2.04,2.16,2.35,0
2024-04-08,3,pompe,48.6,2.44,3.25,2.36,0
2024-04-08,4,moteur_DE,54.5,2.0,2.01,2.24,0
2024-04-08,4,moteur_NDE,52.4,1.89,2.41,2.19,0
2024-04-08,4,pompe,50.5,1.97,2.69,2.1,0
2024-04-15,1,moteur_DE,54.9,2.2,1.56,2.56,0
2024-04-15,1,moteur_NDE,51.4,1.83,2.02,1.96,0
2024-04-15,1,pompe,49.0,2.9,2.81,3.04,0
2024-04-15,2,moteur_DE,52.0,2.48,1.97,2.01,0
2024-04-15,2,moteur_NDE,52.1,2.09,1.76,1.77,0
2024-04-15,2,pompe,48.9,2.58,2.87,2.48,0
2024-04-15,3,moteur_DE,54.7,2.55,2.25,2.61,0
2024-04-15,3,moteur_NDE,54.6,1.94,1.8,2.04,0
2024-04-15,3,pompe,50.1,2.48,2.78,2.61,0
2024-04-15,4,moteur_DE,55.0,1.97,2.42,2.05,0
2024-04-15,4,moteur_NDE,57.1,7.3,2.12,1.79,1
2024-04-15,4,pompe,49.6,2.72,2.41,2.32,0
2024-04-22,1,moteur_DE,55.3,1.87,2.39,2.49,0
2024-04-22,1,moteur_NDE,52.2,1.52,2.44,1.57,0
2024-04-22,1,pompe,50.4,2.31,2.6,2.43,0
2024-04-22,2,moteur_DE,54.3,2.0,1.93,2.42,0
2024-04-22,2,moteur_NDE,54.1,1.89,1.64,1.9,0
2024-04-22,2,pompe,51.2,2.82,2.51,2.56,0
2024-04-22,3,moteur_DE,54.4,2.14,2.26,2.34,0
2024-04-22,3,moteur_NDE,53.0,1.92,2.05,2.92,0
2024-04-22,3,pompe,48.8,2.78,2.65,2.34,0
2024-04-22,4,moteur_DE,55.3,2.4,1.99,1.85,0
2024-04-22,4,moteur_NDE,51.9,1.85,2.09,1.73,0
2024-04-22,4,pompe,50.8,2.84,3.17,3.02,0
2024-04-29,1,moteur_DE,54.2,2.36,1.96,2.1,0
2024-04-29,1,moteur_NDE,49.3,2.46,1.98,2.46,0
2024-04-29,1,pompe,49.4,3.04,2.76,2.53,0
2024-04-29,2,moteur_DE,53.4,2.09,2.13,2.46,0
2024-04-29,2,moteur_NDE,52.8,2.24,1.92,1.68,0
2024-04-29,2,pompe,50.7,2.23,2.68,2.76,0
2024-04-29,3,moteur_DE,55.4,2.56,1.81,1.69,0
2024-04-29,3,moteur_NDE,50.5,2.37,2.11,1.76,0
2024-04-29,3,pompe,50.3,2.63,2.74,2.91,0
2024-04-29,4,moteur_DE,56.3,2.42,1.95,2.09,0
2024-04-29,4,moteur_NDE,55.6,1.69,1.96,6.83,1
2024-04-29,4,pompe,49.8,2.45,2.97,2.92,0
2024-05-06,1,moteur_DE,54.5,2.69,2.2,2.35,0
2024-05-06,1,moteur_NDE,52.3,2.18,2.43,2.13,0
2024-05-06,1,pompe,48.9,2.99,2.63,2.49,0
2024-05-06,2,moteur_DE,61.1,7.54,2.3,2.4,1
2024-05-06,2,moteur_NDE,52.8,2.45,2.19,1.81,0
2024-05-06,2,pompe,50.5,2.29,3.24,2.06,0
2024-05-06,3,moteur_DE,55.5,1.96,2.65,2.03,0
2024-05-06,3,moteur_NDE,55.0,2.78,2.27,1.98,0
2024-05-06,3,pompe,48.8,2.48,2.89,2.55,0
2024-05-06,4,moteur_DE,56.9,2.7,1.95,1.88,0
2024-05-06,4,moteur_NDE,51.5,2.05,2.15,2.32,0
2024-05-06,4,pompe,50.8,2.94,2.77,2.15,0
2024-05-13,1,moteur_DE,54.3,2.31,1.81,2.83,0
