poste_technique,plan_entretien,type_travail_code,corps_metier,categorie_travail,nb_visites_preventives,frequence_observee_jours,frequence_officielle_jours,source_frequence,frequence_moyenne_jours,frequence_std_jours,nb_correctifs_total,nb_correctifs_entre_visites,taux_correctif_entre_visites,classe_frequence,frequence_actuelle_jours,frequence_recommandee_jours,cout_actuel_annuel_mad,cout_recommande_annuel_mad,economie_estimee_mad
SF01-PE-00LN-BROYAG-0HB161,55200.0,360.0,Mécanique,Systématique,5,92.5,730.0,observée,92.5,82.9,44,3,0.75,Insuffisant,92.5,64.8,6967.0,5247.0,1720.0
SF01-PE-00LN-BROYAG-0HB161,55202.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,44,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-BROYAG-0HB161,55207.0,360.0,Mécanique,Systématique,3,274.5,730.0,observée,274.5,58.5,44,2,1.0,Insuffisant,274.5,192.1,3088.0,2297.0,791.0
SF01-PE-00LN-BROYAG-0HB161,55208.0,290.0,Mécanique,Inspection,12,49.0,730.0,observée,49.0,18.0,44,10,0.91,Insuffisant,49.0,34.3,15806.0,11801.0,4005.0
SF01-PE-00LN-BROYAG-0HB161,55209.0,350.0,Mécanique,Graissage,107,7.3,730.0,observée,7.3,3.7,44,26,0.25,Insuffisant,7.3,5.1,32629.0,26735.0,5893.0
SF01-PE-00LN-CLASSI-0HB147,55020.0,360.0,Mécanique,Systématique,3,190.0,730.0,observée,190.0,143.0,79,2,1.0,Insuffisant,190.0,133.0,4461.0,3318.0,1143.0
SF01-PE-00LN-CLASSI-0HB147,55021.0,310.0,Mécanique,Inspection,3,190.0,730.0,observée,190.0,143.0,79,2,1.0,Insuffisant,190.0,133.0,4461.0,3318.0,1143.0
SF01-PE-00LN-CLASSI-0HB147,55025.0,360.0,Mécanique,Systématique,4,151.7,730.0,observée,151.7,106.3,79,2,0.67,Insuffisant,151.7,106.2,3820.0,2894.0,926.0
SF01-PE-00LN-CLASSI-0HB147,55027.0,360.0,Mécanique,Systématique,3,190.0,730.0,observée,190.0,143.0,79,2,1.0,Insuffisant,190.0,133.0,4461.0,3318.0,1143.0
SF01-PE-00LN-CLASSI-0HB147,55029.0,310.0,Mécanique,Inspection,3,190.0,730.0,observée,190.0,143.0,79,2,1.0,Insuffisant,190.0,133.0,4461.0,3318.0,1143.0
SF01-PE-00LN-CLASSI-0HB147,55030.0,290.0,Mécanique,Inspection,78,7.7,730.0,observée,7.7,5.8,79,40,0.52,Insuffisant,7.7,5.4,59427.0,45699.0,13728.0
SF01-PE-00LN-CLASSI-0HB147,55031.0,360.0,Mécanique,Systématique,4,120.0,730.0,observée,120.0,84.1,79,2,0.67,Insuffisant,120.0,84.0,4829.0,3658.0,1171.0
SF01-PE-00LN-CLASSI-0HB147,55032.0,350.0,Mécanique,Graissage,107,7.3,730.0,observée,7.3,3.6,79,42,0.4,Insuffisant,7.3,5.1,49326.0,38662.0,10664.0
SF01-PE-00LN-CLASSI-0HB149,55048.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,84,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-CLASSI-0HB149,55049.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,84,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-CLASSI-0HB149,55057.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,84,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-CLASSI-0HB149,55058.0,290.0,Mécanique,Inspection,79,7.6,730.0,observée,7.6,5.9,84,39,0.5,Insuffisant,7.6,5.3,58071.0,44773.0,13298.0
SF01-PE-00LN-CLASSI-0HB149,55059.0,360.0,Mécanique,Systématique,4,120.0,730.0,observée,120.0,84.1,84,2,0.67,Insuffisant,120.0,84.0,4829.0,3658.0,1171.0
SF01-PE-00LN-CLASSI-0HB149,55060.0,350.0,Mécanique,Graissage,107,7.3,730.0,observée,7.3,3.6,84,45,0.42,Insuffisant,7.3,5.1,51552.0,40252.0,11300.0
SF01-PE-00LN-CLASSI-0HB151,55086.0,360.0,Mécanique,Systématique,85,7.1,730.0,observée,7.1,2.2,60,39,0.46,Insuffisant,7.1,5.0,57582.0,44656.0,12926.0
SF01-PE-00LN-CLASSI-0HB151,55087.0,360.0,Mécanique,Systématique,4,120.0,730.0,observée,120.0,84.1,60,2,0.67,Insuffisant,120.0,84.0,4829.0,3658.0,1171.0
SF01-PE-00LN-CLASSI-0HB151,55088.0,350.0,Mécanique,Graissage,107,7.3,730.0,observée,7.3,3.6,60,38,0.36,Insuffisant,7.3,5.1,44873.0,35481.0,9392.0
SF01-PE-00LN-CLASSI-0HB153,55104.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,66,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-CLASSI-0HB153,55109.0,310.0,Mécanique,Inspection,4,151.7,730.0,observée,151.7,106.3,66,2,0.67,Insuffisant,151.7,106.2,3820.0,2894.0,926.0
SF01-PE-00LN-CLASSI-0HB153,55111.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,66,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-CLASSI-0HB153,55114.0,360.0,Mécanique,Systématique,84,7.2,730.0,observée,7.2,2.1,66,38,0.46,Insuffisant,7.2,5.0,56782.0,44036.0,12747.0
SF01-PE-00LN-CLASSI-0HB153,55115.0,360.0,Mécanique,Systématique,4,120.0,730.0,observée,120.0,84.1,66,2,0.67,Insuffisant,120.0,84.0,4829.0,3658.0,1171.0
SF01-PE-00LN-CLASSI-0HB153,55116.0,350.0,Mécanique,Graissage,107,7.3,730.0,observée,7.3,3.6,66,36,0.34,Insuffisant,7.3,5.1,42647.0,33891.0,8756.0
SF01-PE-00LN-CLASSI-HA29T1,54496.0,360.0,Mécanique,Systématique,4,151.7,730.0,observée,151.7,106.3,27,3,1.0,Insuffisant,151.7,106.2,5588.0,4156.0,1431.0
SF01-PE-00LN-CLASSI-HA29T1,54500.0,360.0,Mécanique,Systématique,3,269.5,730.0,observée,269.5,53.5,27,2,1.0,Insuffisant,269.5,188.6,3145.0,2339.0,806.0
SF01-PE-00LN-CLASSI-HA29T1,54502.0,360.0,Mécanique,Systématique,11,54.0,730.0,observée,54.0,18.1,27,7,0.7,Insuffisant,54.0,37.8,11182.0,8451.0,2731.0
SF01-PE-00LN-CLASSI-HA29T1,54503.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.3,27,13,0.62,Insuffisant,27.3,19.1,19738.0,15016.0,4722.0
SF01-PE-00LN-CLASSI-HA29T1,54504.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.4,27,13,0.62,Insuffisant,27.3,19.1,19738.0,15016.0,4722.0
SF01-PE-00LN-CLASSI-HA29T1,54505.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.4,27,13,0.62,Insuffisant,27.3,19.1,19738.0,15016.0,4722.0
SF01-PE-00LN-CLASSI-HA29T1,200000002640.0,350.0,Mécanique,Graissage,17,28.0,730.0,observée,28.0,0.0,27,10,0.62,Insuffisant,28.0,19.6,19245.0,14640.0,4604.0
SF01-PE-00LN-CLASSI-HA29T2,54506.0,360.0,Mécanique,Systématique,4,151.7,730.0,observée,151.7,106.3,16,2,0.67,Insuffisant,151.7,106.2,3820.0,2894.0,926.0
SF01-PE-00LN-CLASSI-HA29T2,54510.0,310.0,Mécanique,Inspection,3,269.5,730.0,observée,269.5,53.5,16,2,1.0,Insuffisant,269.5,188.6,3145.0,2339.0,806.0
SF01-PE-00LN-CLASSI-HA29T2,54512.0,360.0,Mécanique,Systématique,11,54.0,730.0,observée,54.0,18.1,16,8,0.8,Insuffisant,54.0,37.8,12687.0,9526.0,3161.0
SF01-PE-00LN-CLASSI-HA29T2,54513.0,360.0,Mécanique,Systématique,22,27.3,730.0,observée,27.3,7.8,16,10,0.48,Insuffisant,27.3,19.1,15571.0,12039.0,3532.0
SF01-PE-00LN-CLASSI-HA29T2,54514.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.4,16,10,0.48,Insuffisant,27.3,19.1,15571.0,12039.0,3532.0
SF01-PE-00LN-CLASSI-HA29T2,54515.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.4,16,10,0.48,Insuffisant,27.3,19.1,15571.0,12039.0,3532.0
SF01-PE-00LN-CLASSI-HA29T2,200000002641.0,350.0,Mécanique,Graissage,17,28.0,730.0,observée,28.0,0.0,16,8,0.5,Insuffisant,28.0,19.6,15762.0,12153.0,3609.0
SF01-PE-00LN-CLASSI-HA29T3,54516.0,360.0,Mécanique,Systématique,4,151.7,730.0,observée,151.7,63.1,21,3,1.0,Insuffisant,151.7,106.2,5588.0,4156.0,1431.0
SF01-PE-00LN-CLASSI-HA29T3,54520.0,360.0,Mécanique,Systématique,3,269.5,730.0,observée,269.5,53.5,21,2,1.0,Insuffisant,269.5,188.6,3145.0,2339.0,806.0
SF01-PE-00LN-CLASSI-HA29T3,54522.0,360.0,Mécanique,Systématique,11,54.0,730.0,observée,54.0,18.1,21,8,0.8,Insuffisant,54.0,37.8,12687.0,9526.0,3161.0
SF01-PE-00LN-CLASSI-HA29T3,54523.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.4,21,12,0.57,Insuffisant,27.3,19.1,18250.0,13952.0,4297.0
SF01-PE-00LN-CLASSI-HA29T3,54524.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.4,21,12,0.57,Insuffisant,27.3,19.1,18250.0,13952.0,4297.0
SF01-PE-00LN-CLASSI-HA29T3,54525.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.4,21,12,0.57,Insuffisant,27.3,19.1,18250.0,13952.0,4297.0
SF01-PE-00LN-CLASSI-HA29T3,200000002642.0,350.0,Mécanique,Graissage,17,28.0,730.0,observée,28.0,0.0,21,12,0.75,Insuffisant,28.0,19.6,23017.0,17335.0,5682.0
SF01-PE-00LN-CLASSI-HA29T4,54526.0,310.0,Mécanique,Inspection,4,151.7,730.0,observée,151.7,106.3,8,2,0.67,Insuffisant,151.7,106.2,3820.0,2894.0,926.0
SF01-PE-00LN-CLASSI-HA29T4,54532.0,360.0,Mécanique,Systématique,12,49.1,730.0,observée,49.1,23.0,8,7,0.64,Insuffisant,49.1,34.4,11305.0,8585.0,2720.0
SF01-PE-00LN-CLASSI-HA29T4,54533.0,360.0,Mécanique,Systématique,22,27.3,730.0,observée,27.3,7.8,8,8,0.38,Insuffisant,27.3,19.1,12594.0,9913.0,2681.0
SF01-PE-00LN-CLASSI-HA29T4,54534.0,360.0,Mécanique,Systématique,22,27.3,730.0,observée,27.3,7.8,8,8,0.38,Insuffisant,27.3,19.1,12594.0,9913.0,2681.0
SF01-PE-00LN-CLASSI-HA29T4,54535.0,290.0,Mécanique,Inspection,22,27.3,730.0,observée,27.3,7.4,8,8,0.38,Insuffisant,27.3,19.1,12594.0,9913.0,2681.0
SF01-PE-00LN-CLASSI-HA29T4,200000002643.0,350.0,Mécanique,Graissage,17,27.8,730.0,observée,27.8,0.7,8,8,0.5,Insuffisant,27.8,19.5,15875.0,12240.0,3635.0
SF01-PE-00LN-COMBUS-0HD301,52253.0,360.0,Régulation/Instrumentation,Systématique,3,182.5,,observée,182.5,159.5,211,2,1.0,Insuffisant,182.5,127.7,4645.0,3455.0,1190.0
SF01-PE-00LN-COMBUS-0HD301,52255.0,360.0,Régulation/Instrumentation,Systématique,14,40.9,,observée,40.9,49.1,211,11,0.85,Insuffisant,40.9,28.6,17744.0,13287.0,4458.0
SF01-PE-00LN-COMBUS-0HD301,52261.0,360.0,Régulation/Instrumentation,Systématique,7,100.0,,observée,100.0,79.4,211,4,0.67,Insuffisant,100.0,70.0,5795.0,4389.0,1405.0
SF01-PE-00LN-COMBUS-0HD301,52267.0,360.0,Régulation/Instrumentation,Systématique,5,135.0,,observée,135.0,113.3,211,4,1.0,Insuffisant,135.0,94.5,6279.0,4670.0,1608.0
SF01-PE-00LN-COMBUS-0HD301,55273.0,310.0,Mécanique,Inspection,3,274.5,730.0,observée,274.5,58.5,211,2,1.0,Insuffisant,274.5,192.1,3088.0,2297.0,791.0
SF01-PE-00LN-COMBUS-0HD301,55274.0,360.0,Mécanique,Systématique,3,274.5,730.0,observée,274.5,58.5,211,2,1.0,Insuffisant,274.5,192.1,3088.0,2297.0,791.0
SF01-PE-00LN-COMBUS-0HD301,55275.0,360.0,Mécanique,Systématique,3,228.5,730.0,observée,228.5,104.5,211,2,1.0,Insuffisant,228.5,159.9,3710.0,2759.0,950.0
SF01-PE-00LN-COMBUS-0HD301,55276.0,360.0,Mécanique,Systématique,3,181.5,730.0,observée,181.5,57.5,211,2,1.0,Insuffisant,181.5,127.0,4670.0,3474.0,1196.0
SF01-PE-00LN-COMBUS-0HD301,55279.0,360.0,Mécanique,Systématique,4,151.7,730.0,observée,151.7,106.3,211,3,1.0,Insuffisant,151.7,106.2,5588.0,4156.0,1431.0
SF01-PE-00LN-COMBUS-0HD301,55280.0,360.0,Mécanique,Systématique,3,181.5,730.0,observée,181.5,57.5,211,2,1.0,Insuffisant,181.5,127.0,4670.0,3474.0,1196.0
SF01-PE-00LN-COMBUS-0HD301,55285.0,290.0,Mécanique,Inspection,7,75.0,730.0,observée,75.0,30.3,211,6,1.0,Insuffisant,75.0,52.5,11302.0,8406.0,2895.0
SF01-PE-00LN-COMBUS-0HD301,55286.0,290.0,Mécanique,Inspection,78,7.7,730.0,observée,7.7,5.8,211,59,0.77,Insuffisant,7.7,5.4,85810.0,64544.0,21266.0
SF01-PE-00LN-COMBUS-0HD301,55287.0,290.0,Mécanique,Inspection,79,7.6,730.0,observée,7.6,6.0,211,60,0.77,Insuffisant,7.6,5.3,86939.0,65393.0,21546.0
SF01-PE-00LN-COMBUS-0HD301,55288.0,290.0,Mécanique,Inspection,78,7.7,730.0,observée,7.7,5.9,211,59,0.77,Insuffisant,7.7,5.4,85810.0,64544.0,21266.0
SF01-PE-00LN-COMBUS-0HD301,55289.0,360.0,Mécanique,Systématique,7,75.0,730.0,observée,75.0,22.0,211,6,1.0,Insuffisant,75.0,52.5,11302.0,8406.0,2895.0
SF01-PE-00LN-COMBUS-0HD301,55290.0,290.0,Mécanique,Inspection,99,7.8,730.0,observée,7.8,7.4,211,56,0.57,Insuffisant,7.8,5.5,63874.0,48834.0,15040.0
SF01-PE-00LN-COMBUS-0HD301,55291.0,350.0,Mécanique,Graissage,27,27.8,730.0,observée,27.8,6.8,211,19,0.73,Insuffisant,27.8,19.5,22598.0,17042.0,5556.0
SF01-PE-00LN-COMBUS-0HD301,216275.0,360.0,Régulation/Instrumentation,Systématique,56,7.0,30.0,observée,7.0,6.6,211,34,0.62,Insuffisant,7.0,4.9,76978.0,58560.0,18418.0
SF01-PE-00LN-COMBUS-0HD301,216278.0,360.0,Régulation/Instrumentation,Systématique,19,26.7,,observée,26.7,11.0,211,14,0.78,Insuffisant,26.7,18.7,25051.0,18831.0,6220.0
SF01-PE-00LN-COMBUS-0HD301,216281.0,360.0,Régulation/Instrumentation,Systématique,5,120.0,,observée,120.0,81.7,211,3,0.75,Insuffisant,120.0,84.0,5371.0,4045.0,1326.0
SF01-PE-00LN-COMBUS-0HD301,216284.0,360.0,Régulation/Instrumentation,Systématique,4,180.0,,observée,180.0,50.6,211,2,0.67,Insuffisant,180.0,126.0,3219.0,2439.0,781.0
SF01-PE-00LN-COMBUS-0HD301,200000004319.0,300.0,Mécanique,Inspection,5,89.5,730.0,observée,89.5,0.9,211,4,1.0,Insuffisant,89.5,62.6,9471.0,7044.0,2426.0
SF01-PE-00LN-COMBUS-0HD301-ARAU,216307.0,360.0,Régulation/Instrumentation,Systématique,53,7.4,30.0,observée,7.4,6.5,1,1,0.02,Adéquat,7.4,7.4,6932.0,6932.0,0.0
SF01-PE-00LN-COMBUS-0HD301-ARAU,216310.0,360.0,Régulation/Instrumentation,Systématique,19,26.7,,observée,26.7,10.4,1,1,0.06,Adéquat,26.7,26.7,3139.0,3139.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV,52272.0,310.0,Régulation/Instrumentation,Inspection,46,12.2,30.0,observée,12.2,27.0,2,2,0.04,Adéquat,12.2,12.2,5537.0,5537.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-DPSL3013,216373.0,310.0,Régulation/Instrumentation,Inspection,50,7.4,,observée,7.4,6.6,0,0,0.0,Trop fréquent,7.4,14.8,4736.0,2368.0,2368.0
SF01-PE-00LN-COMBUS-0HD301-SURV-EV3701,216369.0,360.0,Régulation/Instrumentation,Systématique,19,26.7,,observée,26.7,9.0,0,0,0.0,Adéquat,26.7,26.7,1313.0,1313.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-EV3702,216423.0,360.0,Régulation/Instrumentation,Systématique,18,28.3,,observée,28.3,12.1,0,0,0.0,Adéquat,28.3,28.3,1238.0,1238.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-EV3708,216424.0,360.0,Régulation/Instrumentation,Systématique,19,26.7,,observée,26.7,13.9,0,0,0.0,Adéquat,26.7,26.7,1313.0,1313.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-EV3713,216425.0,360.0,Régulation/Instrumentation,Systématique,19,26.7,,observée,26.7,11.3,0,0,0.0,Adéquat,26.7,26.7,1313.0,1313.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-EV3714,216426.0,360.0,Régulation/Instrumentation,Systématique,19,26.7,,observée,26.7,10.6,0,0,0.0,Adéquat,26.7,26.7,1313.0,1313.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-FE3405,216432.0,360.0,Régulation/Instrumentation,Systématique,3,167.5,,observée,167.5,14.5,0,0,0.0,Adéquat,167.5,167.5,209.0,209.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-FE3612,216433.0,360.0,Régulation/Instrumentation,Systématique,4,135.0,,observée,135.0,47.5,0,0,0.0,Adéquat,135.0,135.0,260.0,260.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-JY3704,216363.0,360.0,Régulation/Instrumentation,Systématique,19,26.7,,observée,26.7,9.6,0,0,0.0,Adéquat,26.7,26.7,1313.0,1313.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-PG3008,216143.0,360.0,Régulation/Instrumentation,Systématique,11,53.7,,observée,53.7,18.1,0,0,0.0,Adéquat,53.7,53.7,653.0,653.0,0.0
SF01-PE-00LN-COMBUS-0HD301-SURV-PG3009,216144.0,360.0,Régulation/Instrumentation,Systématique,11,53.7,,observée,53.7,18.1,0,0,0.0,Adéquat,53.7,53.7,653.0,653.0,0.0
